ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20150323,3687.73,3640.1,3688.25,3635.49,3617.32,70.41,1.9465,536063000,661575000
000001.SH,20150324,3691.41,3692.57,3715.87,3600.7,3687.73,3.682,0.0998,639555000,754885000
000001.SH,20150325,3660.73,3680.95,3693.15,3634.56,3691.41,-30.683,-0.8312,521886000,645499000
000001.SH,20150326,3682.09,3641.94,3707.32,3615.01,3660.73,21.368,0.5837,488647000,619516000
000001.SH,20150327,3691.1,3686.13,3710.48,3656.83,3682.09,9.001,0.2445,408945000,509298000
000001.SH,20150330,3786.57,3710.61,3795.94,3710.61,3691.1,95.472,2.5865,564702000,692125000
000001.SH,20150331,3747.9,3822.99,3835.57,3737.04,3786.57,-38.669,-1.0212,561676000,721295000
000001.SH,20150401,3810.29,3748.34,3817.08,3742.21,3747.9,62.395,1.6648,447458000,592418000
000001.SH,20150402,3825.78,3827.69,3835.45,3775.89,3810.29,15.49,0.4065,479300000,632029000
000001.SH,20150403,3863.93,3803.38,3864.41,3792.21,3825.78,38.145,0.9971,473033000,635651000
000001.SH,20150407,3961.38,3899.42,3961.67,3891.73,3863.93,97.449,2.522,570448000,746424000
000001.SH,20150408,3994.81,3976.53,4000.22,3903.65,3961.38,33.433,0.844,618085000,839159000
000001.SH,20150409,3957.53,4006.13,4016.4,3900.03,3994.81,-37.277,-0.9331,585177000,816711000
000001.SH,20150410,4034.31,3947.49,4040.35,3929.32,3957.53,76.776,1.94,484284000,668504000
000001.SH,20150413,4121.71,4072.72,4128.07,4057.29,4034.31,87.405,2.1665,589814000,781667000
000001.SH,20150414,4135.56,4125.78,4168.35,4091.26,4121.71,13.85,0.336,610684000,814645000
000001.SH,20150415,4084.16,4135.65,4175.49,4069.01,4135.56,-51.402,-1.2429,613006000,773126000
000001.SH,20150416,4194.82,4055.92,4195.31,4031.24,4084.16,110.66,2.7095,551243000,712082000
000001.SH,20150417,4287.3,4254.72,4317.22,4238.91,4194.82,92.473,2.2045,701706000,915633000
000001.SH,20150420,4217.08,4301.35,4356,4190.68,4287.3,-70.219,-1.6378,857133000,1147600000
000001.SH,20150421,4293.62,4212.19,4294.38,4188.57,4217.08,76.546,1.8151,634471000,862448000
000001.SH,20150422,4398.49,4304.6,4400.19,4297.95,4293.62,104.871,2.4425,680305000,976877000
000001.SH,20150423,4414.51,4414.48,4444.41,4358.84,4398.49,16.014,0.3641,667345000,963025000
000001.SH,20150424,4393.69,4355.95,4416.38,4318.12,4414.51,-20.822,-0.4717,628555000,916873000
000001.SH,20150427,4527.4,4441.93,4529.73,4441.93,4393.69,133.71,3.0432,671089000,975242000
000001.SH,20150428,4476.21,4527.63,4572.39,4432.9,4527.4,-51.181,-1.1305,767676000,1061170000
000001.SH,20150429,4476.62,4446.12,4499.94,4398.64,4476.21,0.405,0.009,519834000,752402000
000001.SH,20150430,4441.65,4483.01,4507.34,4441.05,4476.62,-34.965,-0.7811,526728000,774349000
000001.SH,20150504,4480.46,4441.34,4487.57,4387.43,4441.65,38.809,0.8738,494173000,717541000
000001.SH,20150505,4298.71,4479.85,4488.87,4282.24,4480.46,-181.758,-4.0567,572859000,805566000
000001.SH,20150506,4229.27,4311.64,4376.35,4187.37,4298.71,-69.44,-1.6154,481733000,716536000
000001.SH,20150507,4112.21,4197.9,4213.76,4108.01,4229.27,-117.052,-2.7677,394567000,540206000
000001.SH,20150508,4205.92,4152.98,4206.86,4099.04,4112.21,93.703,2.2787,397428000,559649000
000001.SH,20150511,4333.58,4231.27,4334.88,4187.82,4205.92,127.667,3.0354,488751000,715247000
000001.SH,20150512,4401.22,4342.37,4402.31,4317.98,4333.58,67.635,1.5607,521866000,793464000
